"filename", "language", "C", "C++", "Java", "comment", "blank", "total"
"c:\cpp\cpp\牛客周赛\Round136_F_小红的点构造.cpp", "C++", 0, -61, 0, 0, -12, -73
"c:\cpp\cpp\牛客周赛\Round137_A_小苯的时钟显示.cpp", "C++", 0, -21, 0, 0, -4, -25
"c:\cpp\cpp\牛客周赛\Round137_B_小苯的输入法.cpp", "C++", 0, -42, 0, 0, -7, -49
"c:\cpp\cpp\牛客周赛\Round137_C_小苯的观景路线.cpp", "C++", 0, -30, 0, 0, -6, -36
"c:\cpp\cpp\牛客周赛\Round137_D_小苯的序列涂色.cpp", "C++", 0, -36, 0, 0, -9, -45
"c:\cpp\cpp\牛客周赛\Round137_E_小苯的凝聚区间.cpp", "C++", 0, -37, 0, 0, -6, -43
"c:\cpp\cpp\牛客周赛\Round138_A_小苯的转盘游戏.cpp", "C++", 0, -21, 0, 0, -6, -27
"c:\cpp\cpp\牛客周赛\Round138_B_小苯的最大异或.cpp", "C++", 0, -30, 0, 0, -6, -36
"c:\cpp\cpp\牛客周赛\Round138_C_小苯的数位排序.cpp", "C++", 0, -46, 0, 0, -12, -58
"c:\cpp\cpp\牛客周赛\Round138_D_小苯的路径计数.cpp", "C++", 0, -52, 0, 0, -16, -68
"c:\cpp\cpp\牛客周赛\Round138_E_小苯的对称序列.cpp", "C++", 0, -32, 0, 0, -9, -41
"c:\cpp\cpp\牛客周赛\Round138_F_小苯的对称序列.cpp", "C++", 0, -54, 0, 0, -16, -70
"c:\cpp\cpp\牛客周赛\Round139_A_小红的red.cpp", "C++", 0, -20, 0, 0, -4, -24
"c:\cpp\cpp\牛客周赛\Round139_B_小红的矩阵构造.cpp", "C++", 0, -25, 0, 0, -7, -32
"c:\cpp\cpp\牛客周赛\Round139_C_小红的数据结构.cpp", "C++", 0, -35, 0, 0, -6, -41
"c:\cpp\cpp\牛客周赛\Round139_D_小红的部分相同字符串.cpp", "C++", 0, -43, 0, 0, -8, -51
"c:\cpp\cpp\牛客周赛\Round139_E_小红的树权值.cpp", "C++", 0, -53, 0, 0, -9, -62
"c:\cpp\cpp\牛客周赛\Round139_F_小红的部分不同字符串.cpp", "C++", 0, -65, 0, 0, -18, -83
"c:\cpp\cpp\牛客周赛\Round140_A_小红的区间计数.cpp", "C++", 0, -13, 0, 0, -5, -18
"c:\cpp\cpp\牛客周赛\Round140_B_小红的牛魔.cpp", "C++", 0, -26, 0, 0, -4, -30
"c:\cpp\cpp\牛客周赛\Round140_C_小红的矩阵计数.cpp", "C++", 0, -33, 0, 0, -8, -41
"c:\cpp\cpp\牛客周赛\Round140_E_小红的排序（hard）.cpp", "C++", 0, -63, 0, 0, -18, -81
"c:\cpp\cpp\牛客周赛\Round140_F_小红的三角形构造.cpp", "C++", 0, -47, 0, 0, -12, -59
"c:\cpp\cpp\牛客周赛\Round140_G_小红的生成树构造.cpp", "C++", 0, -95, 0, 0, -22, -117
"c:\cpp\cpp\牛客周赛\Round141_A_回文(version 1）.cpp", "C++", 0, -42, 0, 0, -14, -56
"c:\cpp\cpp\牛客周赛\Round141_B_未知(version 1).cpp", "C++", 0, -22, 0, 0, -9, -31
"c:\cpp\cpp\牛客周赛\Round141_C_回文(version 2).cpp", "C++", 0, -39, 0, 0, -10, -49
"c:\cpp\cpp\牛客周赛\Round141_D_未知(version 2).cpp", "C++", 0, -53, 0, 0, -11, -64
"c:\cpp\cpp\牛客周赛\Round141_D_未知(version 2).java", "Java", 0, 0, -55, 0, -17, -72
"c:\cpp\cpp\牛客周赛\Round141_E_未知(version 3).cpp", "C++", 0, -49, 0, 0, -17, -66
"c:\cpp\cpp\牛客周赛\Round141_F_回文(version 3).cpp", "C++", 0, -61, 0, 0, -11, -72
"c:\cpp\cpp\牛客周赛\Round142_A_小苯的ovo3.0.cpp", "C++", 0, -25, 0, 0, -9, -34
"c:\cpp\cpp\牛客周赛\Round142_B_小苯的双端队列.cpp", "C++", 0, -39, 0, 0, -10, -49
"c:\cpp\cpp\牛客周赛\Round142_C_小苯的整除序列.cpp", "C++", 0, -33, 0, 0, -9, -42
"c:\cpp\cpp\牛客周赛\Round142_D_小苯的幼儿园.cpp", "C++", 0, -45, 0, 0, -12, -57
"c:\cpp\cpp\牛客周赛\Round142_E_小苯的DFS.cpp", "C++", 0, -107, 0, -1, -22, -130
"c:\cpp\cpp\牛客周赛\Round142_E_小苯的区间操作.cpp", "C++", 0, -32, 0, 0, -11, -43
"c:\cpp\cpp\牛客寒假训练赛\牛客竞赛1_B_Card Game.cpp", "C++", 0, -41, 0, 0, -11, -52
"c:\cpp\cpp\牛客寒假训练赛\牛客竞赛1_C_Array Covering.cpp", "C++", 0, -28, 0, 0, -7, -35
"c:\cpp\cpp\牛客寒假训练赛\牛客竞赛1_E_Block Game.cpp", "C++", 0, -22, 0, 0, -4, -26
"c:\cpp\cpp\牛客寒假训练赛\牛客竞赛1_G_Digital Folding.cpp", "C++", 0, -116, 0, 0, -19, -135
"c:\cpp\cpp\牛客寒假训练赛\牛客竞赛1_H_Blackboard.cpp", "C++", 0, -38, 0, 0, -12, -50
