Date : 2026-07-26 18:18:38
Directory : c:\cpp\cpp
Total : 594 files,  24530 codes, 398 comments, 6216 blanks, all 31144 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        589 |     24,367 |        391 |      6,183 |     30,941 |
| Java     |          5 |        163 |          7 |         33 |        203 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\cpp\cpp\杭电周赛\8008_石头的领袖魅力.cpp                                   | C++      |         31 |          0 |          7 |         38 |
| c:\cpp\cpp\杭电周赛\9002_玉米式统计.cpp                                     | C++      |         46 |          0 |          9 |         55 |
| c:\cpp\cpp\杭电周赛\9004_玉米式命名.cpp                                     | C++      |         56 |          3 |          9 |         68 |
| c:\cpp\cpp\杭电周赛\X001_歪歪吃水果.cpp                                     | C++      |         23 |          0 |          5 |         28 |
| c:\cpp\cpp\杭电周赛\X003_月亮棋.cpp                                       | C++      |         79 |          0 |         13 |         92 |
| c:\cpp\cpp\洛谷刷题训练\1.1_金币.cpp                                       | C++      |         24 |          0 |          7 |         31 |
| c:\cpp\cpp\洛谷刷题训练\1.2_接水问题.cpp                                     | C++      |         22 |          0 |          9 |         31 |
| c:\cpp\cpp\洛谷刷题训练\1.3_最接近神的人.cpp                                   | C++      |         41 |          0 |         12 |         53 |
| c:\cpp\cpp\洛谷刷题训练\1.4_搭配购买.cpp                                     | C++      |         75 |          0 |         16 |         91 |
| c:\cpp\cpp\洛谷刷题训练\2.1_棋盘问题.cpp                                     | C++      |         26 |          0 |         16 |         42 |
| c:\cpp\cpp\洛谷刷题训练\2.2_ 混合牛奶 Mixing Milk.cpp                        | C++      |         70 |          0 |         17 |         87 |
| c:\cpp\cpp\洛谷刷题训练\2.3_ 开心的金明.cpp                                   | C++      |         54 |          0 |         14 |         68 |
| c:\cpp\cpp\洛谷刷题训练\2.4_借教室.cpp                                      | C++      |         79 |          0 |         21 |        100 |
| c:\cpp\cpp\洛谷刷题训练\3.1_Phone numbers.cpp                            | C++      |         43 |          0 |          7 |         50 |
| c:\cpp\cpp\洛谷刷题训练\3.2_zzc 种田.cpp                                   | C++      |         20 |          0 |          9 |         29 |
| c:\cpp\cpp\洛谷刷题训练\3.3_信息传递.cpp                                     | C++      |         47 |          0 |         13 |         60 |
| c:\cpp\cpp\洛谷刷题训练\3.4_Decrease.cpp                                 | C++      |         46 |          0 |         11 |         57 |
| c:\cpp\cpp\洛谷刷题训练\4.1_陶陶摘苹果.cpp                                    | C++      |         13 |          0 |          6 |         19 |
| c:\cpp\cpp\洛谷刷题训练\4.2_陶陶摘苹果（升级版）.cpp                               | C++      |         29 |          0 |          9 |         38 |
| c:\cpp\cpp\洛谷刷题训练\4.3_Music Notes S.cpp                            | C++      |         28 |          0 |          8 |         36 |
| c:\cpp\cpp\洛谷刷题训练\4.4_字串变换.cpp                                     | C++      |         43 |          0 |         14 |         57 |
| c:\cpp\cpp\洛谷刷题训练\5.1_优秀的拆分.cpp                                    | C++      |         33 |          0 |          9 |         42 |
| c:\cpp\cpp\洛谷刷题训练\5.2_删数问题.cpp                                     | C++      |         26 |          0 |          6 |         32 |
| c:\cpp\cpp\洛谷刷题训练\5.3_集合 Subset Sums.cpp                           | C++      |         27 |          0 |          8 |         35 |
| c:\cpp\cpp\洛谷刷题训练\5.4_矩形.cpp                                       | C++      |         42 |          0 |         10 |         52 |
| c:\cpp\cpp\牛客周赛\130,131\Round130_A_红美铃的访客登记.cpp                    | C++      |         16 |          0 |          5 |         21 |
| c:\cpp\cpp\牛客周赛\130,131\Round130_B_爱丽丝的魔力零件分类.cpp                  | C++      |         78 |          0 |         16 |         94 |
| c:\cpp\cpp\牛客周赛\130,131\Round131_C_Get The Sequence.cpp            | C++      |         60 |          0 |         16 |         76 |
| c:\cpp\cpp\牛客周赛\130,131\Round131_D_Longest Subsequence.cpp         | C++      |         60 |          0 |         13 |         73 |
| c:\cpp\cpp\牛客周赛\130,131\Round131_E_Eat The Candy.cpp               | C++      |         72 |          0 |         18 |         90 |
| c:\cpp\cpp\牛客周赛\132\Round132_A_ICPC Time.cpp                       | C++      |         11 |          0 |          4 |         15 |
| c:\cpp\cpp\牛客周赛\132\Round132_B_倍数.cpp                              | C++      |         54 |          0 |         11 |         65 |
| c:\cpp\cpp\牛客周赛\132\Round132_C_邻合.cpp                              | C++      |         65 |         22 |         17 |        104 |
| c:\cpp\cpp\牛客周赛\132\Round132_D_对和.cpp                              | C++      |         63 |          0 |         12 |         75 |
| c:\cpp\cpp\牛客周赛\132\Round132_E_镜像.cpp                              | C++      |         93 |          0 |         18 |        111 |
| c:\cpp\cpp\牛客周赛\132\Round132_F_差异.cpp                              | C++      |         76 |          0 |         17 |         93 |
| c:\cpp\cpp\牛客周赛\133\Round133_A_小红的闭合标签.cpp                         | C++      |         21 |          0 |          4 |         25 |
| c:\cpp\cpp\牛客周赛\133\Round133_B_小红的众数.cpp                           | C++      |         21 |          0 |          5 |         26 |
| c:\cpp\cpp\牛客周赛\133\Round133_C_小红的数字查找.cpp                         | C++      |         29 |          0 |          7 |         36 |
| c:\cpp\cpp\牛客周赛\133\Round133_D_小红的异或分组.cpp                         | C++      |         22 |          0 |          5 |         27 |
| c:\cpp\cpp\牛客周赛\133\Round133_E_小红的路径.cpp                           | C++      |        151 |          0 |         22 |        173 |
| c:\cpp\cpp\牛客周赛\134\Round134_A_Nowcoder Weekly Contest.cpp         | C++      |         11 |          0 |          2 |         13 |
| c:\cpp\cpp\牛客周赛\134\Round134_B_CPC Medal.cpp                       | C++      |         18 |          0 |          6 |         24 |
| c:\cpp\cpp\牛客周赛\134\Round134_C_Unique Number.cpp                   | C++      |         24 |          0 |         10 |         34 |
| c:\cpp\cpp\牛客周赛\134\Round134_D_ Balanced Array.cpp                 | C++      |         36 |          0 |          9 |         45 |
| c:\cpp\cpp\牛客周赛\134\Round134_E_Maximize The Sum.cpp                | C++      |         38 |          0 |          7 |         45 |
| c:\cpp\cpp\牛客周赛\134\Round134_F_Palindromic Value.cpp               | C++      |         51 |          0 |         12 |         63 |
| c:\cpp\cpp\牛客周赛\135\Round135_A_Add Three.cpp                       | C++      |         14 |          0 |          4 |         18 |
| c:\cpp\cpp\牛客周赛\135\Round135_B_Maximize The Count.cpp              | C++      |         21 |          0 |          4 |         25 |
| c:\cpp\cpp\牛客周赛\135\Round135_C_Permutation Swapping.cpp            | C++      |         31 |          0 |          3 |         34 |
| c:\cpp\cpp\牛客周赛\135\Round135_D_Two Options.cpp                     | C++      |         27 |          0 |          5 |         32 |
| c:\cpp\cpp\牛客周赛\135\Round135_E_Not Equal.cpp                       | C++      |         39 |          1 |          8 |         48 |
